"행정구역별(시군구)",2016,2016,2016,2016,2016,2016,2016,2016
"행정구역별(시군구)",일반가구_계,1인,2인,3인,4인,5인,6인,7인 이상
"순천시",101344,26404,28608,21481,18065,5350,1118,318
"나주시",40683,14732,12466,6718,4555,1573,441,198
"광양시",54550,14065,15496,11768,9715,2723,595,188
"담양군",17109,5150,6265,2895,1728,703,246,122
"곡성군",12721,5191,4112,1737,1012,464,141,64
"구례군",10736,3860,3652,1660,945,407,145,67
"고흥군",29198,11151,10903,3966,2027,758,283,110
"보성군",18125,6748,6413,2717,1343,608,202,94
"화순군",24953,7866,8147,4371,3009,1174,285,101
"장흥군",16297,5876,5696,2458,1412,595,179,81
"강진군",15084,5446,5309,2254,1259,543,187,86
"해남군",28953,9749,10137,4519,2795,1171,369,213
"영암군",23332,8318,7265,3797,2581,969,289,113
"무안군",31359,10191,9278,5536,4356,1502,367,129
"함평군",13400,4867,4831,1951,1035,444,184,88
"영광군",21180,7065,7251,3473,2165,853,256,117
"장성군",16603,4970,6070,2851,1718,682,205,107
"완도군",20892,7033,7611,3278,1860,770,246,94
"진도군",13173,4941,4607,1920,1025,460,159,61
"신안군",16530,6284,6044,2345,1101,472,193,91
"경상북도",1076581,336547,322930,208721,154056,41024,9962,3341
"읍부",235122,71782,68769,46769,34887,9710,2382,823
"면부",280726,98314,105951,43072,21980,7632,2687,1090
"동부",560733,166451,148210,118880,97189,23682,4893,1428
"포항시",199175,53247,58265,44836,33012,7730,1605,480
"남구",95318,26546,27810,20985,15313,3675,761,228
"북구",103857,26701,30455,23851,17699,4055,844,252
"경주시",105400,34493,30760,20409,14612,3843,945,338
"김천시",55285,16847,17082,10456,7790,2282,619,209
"안동시",68192,21974,20964,12513,9088,2705,717,231
"구미시",159917,48338,36384,34619,31871,7020,1312,373
"영주시",44582,13937,14947,8153,5280,1654,465,146
"영천시",40947,13450,13779,7213,4560,1383,414,148
"상주시",41997,13792,14330,7176,4495,1553,470,181
"문경시",29825,9357,10410,5290,3212,1078,332,146
"경산시",106396,34448,28140,20950,17054,4597,948,259
"군위군",10166,3701,3981,1422,710,238,73,41
"의성군",23733,8520,9394,3298,1656,571,217,77
"청송군",11401,3994,4457,1679,845,296,101,29
"영양군",7559,2617,2919,1108,585,229,70,31
"영덕군",17096,6497,6148,2478,1324,478,125,46
"청도군",18170,6393,6622,2903,1543,467,181,61
"고령군",13476,4202,4739,2336,1474,500,154,71
"성주군",17324,5643,6253,2937,1580,580,227,104
"칠곡군",46899,14453,12464,9676,7782,1981,420,123
"예천군",19459,6576,7063,3071,1809,632,208,100
"봉화군",14034,4660,5393,2176,1152,430,154,69
"울진군",21569,7764,7184,3437,2287,654,175,68
"울릉군",3979,1644,1252,585,335,123,30,10
"경상남도",1273523,358430,347870,268117,224170,58381,12773,3782
"읍부",176088,45535,48469,38097,32363,8998,2003,623
"면부",282104,94048,96221,47155,30490,10062,2987,1141
"동부",815331,218847,203180,182865,161317,39321,7783,2018
"진주시",135912,40393,36019,27623,23390,6610,1476,401
"통영시",53411,15355,16229,10573,8074,2396,589,195
"사천시",44690,13227,13916,8641,6455,1879,425,147
"김해시",187699,44413,45297,43798,41663,10041,1938,549
"밀양시",43959,14597,14563,7559,5048,1643,397,152
"거제시",95037,26678,22838,20371,18981,4857,1039,273
"양산시",115933,29655,30822,26212,22629,5296,1060,259
"창원시",393675,103285,98670,90935,77719,18406,3692,968
"의창구",94377,26217,22780,21664,18214,4362,901,239
"성산구",80126,17575,17466,20731,19742,3862,624,126
"마산합포구",71298,21050,20343,15018,11053,3000,642,192
"마산회원구",78499,20069,20564,18272,14908,3698,775,213
"진해구",69375,18374,17517,15250,13802,3484,750,198
"의령군",12126,4840,4212,1696,885,356,94,43
"함안군",26929,8565,8196,4944,3735,1151,245,93
"창녕군",26306,9207,9004,4235,2577,879,287,117
"고성군",22101,7560,7461,3588,2370,785,258,79
"남해군",19442,6991,7274,2811,1551,567,191,57
"하동군",19208,6482,6799,3145,1725,705,242,110
"산청군",15044,5533,5338,2219,1193,528,160,73
"함양군",16780,6041,5730,2568,1573,587,198,83
"거창군",24958,7851,8242,4289,3100,1083,293,100
"합천군",20313,7757,7260,2910,1502,612,189,83
"제주특별자치도",229337,62841,60522,45663,38608,15552,4395,1756
"읍부",50011,13840,15190,9474,6708,3159,1143,497
"면부",12486,3932,3934,2161,1418,643,259,139
"동부",166840,45069,41398,34028,30482,11750,2993,1120
"제주시",168957,45972,42886,33967,29975,11846,3127,1184
"서귀포시",60380,16869,17636,11696,8633,3706,1268,572
